"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2023","15,621.0","15,852.0","15,854.0","15,580.0","","-1.44%"
"11/02/2023","15,850.0","15,875.0","15,880.0","15,835.0","","-0.50%"
"11/01/2023","15,930.0","15,925.0","15,953.5","15,920.0","","0.31%"
"10/31/2023","15,880.0","15,877.5","15,912.5","15,867.5","","-0.03%"
"10/30/2023","15,885.0","15,922.5","15,930.5","15,882.5","","-0.31%"
"10/27/2023","15,935.0","15,917.5","15,952.5","15,914.0","","0.13%"
"10/26/2023","15,915.0","15,895.0","15,942.5","15,895.0","","0.32%"
"10/25/2023","15,865.0","15,867.5","15,880.0","15,862.5","","0.13%"
"10/24/2023","15,845.0","15,892.5","15,895.0","15,835.0","","-0.53%"
"10/23/2023","15,930.0","15,880.0","15,967.5","15,880.0","","0.38%"
"10/20/2023","15,870.0","15,847.5","15,889.0","15,825.0","","0.38%"
"10/19/2023","15,810.0","15,790.0","15,856.5","15,790.0","","0.54%"
"10/18/2023","15,725.0","15,730.0","15,737.5","15,716.0","","0.10%"
"10/17/2023","15,710.0","15,705.0","15,726.5","15,701.5","","-0.03%"
"10/16/2023","15,715.0","15,705.0","15,727.5","15,700.0","","0.22%"
"10/13/2023","15,680.0","15,735.0","15,740.0","15,682.5","","-0.03%"
"10/12/2023","15,685.0","15,695.0","15,708.0","15,690.0","","-0.03%"
"10/11/2023","15,690.0","15,727.5","15,737.5","15,689.0","","-0.25%"
"10/10/2023","15,730.0","15,677.5","15,742.5","15,667.5","","0.29%"
"10/09/2023","15,685.0","15,635.0","15,702.5","15,635.0","","0.51%"
"10/06/2023","15,605.0","15,620.0","15,636.5","15,610.0","","-0.03%"
"10/05/2023","15,610.0","15,585.0","15,621.5","15,575.0","","-0.10%"
"10/04/2023","15,625.0","15,620.0","15,646.5","15,612.5","","0.32%"